Components,Prompts,Pratyush,Rakesh,Anusha
"virtualized-table","Create a large virtualized table with 1000+ rows and 5 columns (ID, Name, Email, Phone,
Address) to test rendering performance.",Shows Error: Job failed: Gemini API error: The model is overloaded. Please try again later.. Please check your backend connection at,,Pass
"timeline","Display a timeline of 'Recent Deployments'. Include 'v1.2.0 (Success)' at 10:30 AM, 'v1.1.9
(Failed)' at 9:15 AM, and 'v1.1.8 (Success)' at 8:00 AM.",screen gets white after inputting prompt,,Pass
"kanban","Show a 'Project Tasks' kanban board with columns 'To Do' (3 tasks), 'In Progress' (2 tasks), and
'Done' (5 tasks).",Pass,,Pass
"calendar","Create a calendar view for the current month showing 'Scheduled Events', including 'Team Sync'
on the 15th and 'Deployment' on the 20th.",Pass,,Pass
"gantt","Display a 'Project Timeline' gantt chart with 3 tasks: 'Discovery' (Nov 1-10), 'Development' (Nov
11-25), 'Testing' (Nov 26-30). Show a dependency from Development to Testing.",Pass,,Pass
"org-chart","Show an organization structure chart starting with the 'CEO' reporting to 'CTO' and 'COO'. The
'CTO' has two reports: 'Engineering Lead' and 'Product Lead'.",Pass,,Pass
"tree-view",Create a tree view of a file/folder structure:,Pass,,Pass
"mind-map","Display a 'Project Brainstorm' mind map with the central idea 'New App' and branches for
'Features', 'Marketing', 'Tech Stack', and 'Users'.",Pass,,Pass
"list","Show a list of 'Recent Errors' with icons: '502 Bad Gateway (API)', '404 Not Found (Web)',
'Connection Timeout (DB)'.",Pass,,Pass
"list-item","Create a formatted list item with an icon (e.g., a person), primary text 'Chiranjeet Mishra', and
secondary text 'AI Engineer'.",Pass,,Pass
"badge","Show three status badges: one 'Success' (green) labeled 'Active', one 'Warning' (yellow) labeled
'Pending', and one 'Error' (red) labeled 'Failed'.",Pass,,Pass
"chip","Display three removable tag chips: 'Python', 'FastAPI', and 'React'.",Pass,,Pass
"avatar","Show three user avatars: one with initials 'CM', one with an image, and one with a 'busy' status
indicator.",Pass,,Pass
"stack","Create a vertical stack containing a heading, a paragraph of text, and a primary button labeled
'Submit'. Set the spacing to 16px.",Pass,,Pass
"flexbox","Display a flexible row layout with two items, 'Item 1' and 'Item 2', using 'space-between'
justification to push them to opposite ends.",Pass,,Pass
"grid","Create a responsive 3-column grid layout containing 6 cards, each with a title and short
description.",Pass,,Pass
"container","Show a centered container with a max-width of 'md' (medium), containing a paragraph of 'lorem
ipsum' text.",Pass,,Pass
"section","Create a page section with standard vertical padding, a title 'About Us', and some descriptive
text.",Pass,,Pass
"masonry","Display a masonry layout with 6 items of variable height (e.g., 3 images, 3 text blocks) to show
the staggered grid.",Pass,,Pass
"accordion","Show an FAQ accordion with three sections: 'What is this?', 'How do I use it?', and 'Is it free?'.
Make the first section open by default.",Pass,,Pass
"breadcrumbs","Display navigation breadcrumbs for a nested page: Home > Dashboard > Reports > Monthly.
Make 'Monthly' the current, non-clickable page.",Pass,,Pass
"stepper","Create a wizard stepper for a 'Signup Process' with 4 steps: 'Account', 'Profile', 'Billing', 'Done'.
Show 'Profile' as the active step.",Pass,,Pass(numbering for 1 and 2 options were missing )
"divider",Show a horizontal section divider between two paragraphs of text to visually separate them.,Pass,,Pass
"spacer",Add 48px of vertical spacing (a 'spacer') between a line chart and a data table below it.,Pass,,Pass
"appbar","Display an app bar (header) with a 'Metis' logo on the left, and a search icon and user avatar on
the right.",Pass,,Pass
"sidebar","Create a sidebar navigation menu with links: 'Dashboard', 'Analytics', 'Users', and 'Settings'.
Highlight 'Dashboard' as active.",Pass,,Pass
"drawer","Show a collapsible navigation drawer (like a sidebar) that is currently open, overlaying the main
content.",Pass,,Pass
"bottom-navigation","Display a bottom navigation bar for a mobile view with 3 icons/labels: 'Home', 'Search', and
'Profile'.",passed but creates an overlapped image,,Pass (overlapped words)
text-field ,Show a text input field with the label 'Username' and placeholder text 'Enter your username'.,Pass,,Pass
text-area ,Create a multi-line text area with the label 'Comments' and placeholder 'Leave your feedback here...'. Set the minimum rows to 4.,Pass,,Pass
search-input ,Display a search field with a search icon inside and placeholder text 'Search logs...'.,Pass,,"Pass(""search logs"" words shown are overlapped"")"
select ,"Show a dropdown select labeled 'Country' with options: USA, Canada, Mexico, UK. Set 'Canada' as the default selected value.",Pass,,Pass
multi-select ,"Create a multi-select dropdown for 'Tags' with options 'Tech', 'Finance', 'Health', 'AI'. Show 'AI' and 'Tech' as already selected.",Pass,,Pass
autocomplete ,"Display an autocomplete input for 'User' with suggestions: 'Chiranjeet Mishra', 'Alex Smith', 'Sarah Jenkins'.",Pass,,Pass
date-picker ,Create a date picker for selecting 'Start Date' with a placeholder 'MM/DD/YYYY'.,Pass(not good for light theme as it doesn't visible),,Pass but blank space is there with no proper bg color
time-picker ,Show a time picker for 'Appointment Time' with a default value of '10:30 AM'.,Pass(not good for light theme as it doesn't visible),,Pass but blank space is there with no proper bg color
datetime-picker ,Display a combined date and time picker for 'Event Start'.,Pass(not good for light theme as it doesn't visible),,Pass but blank space is there with no proper bg color
checkbox ,Show a checkbox with the label 'I agree to the Terms and Conditions'.,Pass,,Pass
switch ,Create two toggle switches for 'Settings': one labeled 'Enable Notifications' (on by default) and one 'Dark Mode' (off by default).,Pass,,Pass
radio ,"Display radio buttons for 'Payment Method' with options: Credit Card, PayPal, and Bank Transfer. Make 'Credit Card' the default selection.",Pass,,Pass
slider ,"Show a slider for 'Volume Control' with a range from 0 to 100, and a default value of 75.",Pass(but UI is not good),,Pass(range slider size is magnified and it overlaps the numbers)
range-slider ,Display a 'Price Filter' range slider with a min of $0 and max of $1000. Set the current range to $100 - $500.,Pass(but UI is not good),,Pass(range slider size is overlappring the price number)
color-picker,Create a color picker with a preset palette of 6 colors and a default selected color of '#F97316'.,Pass,,Pass
file-picker ,Display a file upload component with a 'Drag and Drop' area and a 'Browse' button.,Pass,,Pass
tag-input ,"Show a tag input field for 'Add Keywords', pre-filled with the tags 'AI' and 'DevOps'.",Pass(but input interface is not good for light theme as input text is invisible while typing in light theme),,Pass(bg color is plain white and input text doesnt appear visible)
otp-input ,Create a 6-digit OTP (One-Time Password) input box.,Pass(but input interface is not good for light theme as input text is invisible while typing in light theme),,Pass
rating ,"Display a 5-star rating component, showing a default rating of 3.5 stars.",Not Pass (Displays 9 star in place of 5 star and then 6 star in place of 3.5 star),,Shows 9 stars out of which 6 stars are given
rich-text-editor ,"Show a rich text editor with a formatting toolbar (Bold, Italic, Bullets) and some default ""Hello world"" text.",Pass ,,Pass(shows in an unclear manner)
alert ,Show a success alert message with the text 'Profile updated successfully!',Pass ,,Pass
notification ,Display a notification toast with a title 'New Message' and a body 'You have 1 unread message.' Include a 'View' action button.,Not Pass(Creates a blank notification),,Fail
modal ,Create a modal dialog titled 'Confirm Deletion' with the message 'Are you sure you want to delete this item? This action cannot be undone.' and 'Cancel'/'Delete' buttons.,Not Pass(Creates a blank model),,Fail
tooltip ,Show a button labeled 'Save' that displays a hover tooltip with the text 'Save your changes (Ctrl+S)'.,Not Pass(Create a button which is written as hover me),,Fail(blank space given)
popover ,Create a popover attached to a 'Help' icon. The popover should contain a title 'Need help?' and some descriptive text.,Not Pass(creates a click me icon instead of help icon),,Fail
circular-progress ,Display a circular loading spinner in the center of the screen with a label 'Loading data...'.,Pass ,,Pass
linear-progress ,Show a linear progress bar indicating 75% completion for a 'File Upload' process.,Pass ,,Pass
skeleton ,"Create loading skeleton placeholders for a user profile: one circle for an avatar, and three lines of text (one short, two long) for name and details.",Pass ,,Pass
backdrop ,Display a backdrop overlay (semi-transparent black) to indicate a modal is active behind it.,Pass ,,Pass
button ,"Show a row of buttons with different styles: one 'Primary' (solid, labeled 'Submit'), one 'Secondary' (outline, labeled 'Cancel'), one 'Text', and one 'Disabled'.",Pass ,,Pass
menu ,"Display a dropdown menu attached to a 'File' button. The menu should have options: New, Open, Save, and Exit.",Not Pass(No dropdown menu displays only click me displays),,"Pass(but there is not ""menu"" dropdown) it is just 4 opn. without dropdown"
tabs ,"Show a tabbed interface with three tabs: 'Dashboard', 'Analytics', and 'Settings'. Make 'Analytics' the active tab.",Pass ,,Pass
pagination ,"Display page navigation for a list of 100 items, with 10 items per page. Show that we are currently on page 5 of 10.",Pass ,,Pass
image ,"Display an image of a mountain landscape with the alt text 'Snowy mountain peak' and a caption 'Mount Everest, 2025'.",Pass ,,Pass
video ,"Show a video player with controls, set to load a sample 'big-buck-bunny' trailer.",Pass ,,Pass
audio ,"Create an audio player for a podcast episode, showing the title 'Episode 1: The Beginning' and player controls.",Pass ,,Pass
gallery ,"Display an image gallery with 6 photos of different cities (e.g., Paris, Tokyo, New York) in a 3x2 grid",Pass ,,Pass
carousel ,"Show an image carousel (slider) with 3 slides, each containing an image and a title ('Slide 1', 'Slide 2', 'Slide 3'). Include navigation arrows and dot indicators.",Not Pass(Gives a blank output),,Fail(blank space given)
dashboard ,Create a complete 'Live System Dashboard' containing: 1. A 2x2 grid. 2. Top-left: A summary card with 4 metrics. 3. Top-right: A donut chart for 'Error Types'. 4. Bottom-left: A line chart for 'Traffic Over Time'. 5. Bottom-right: A data table of 'Recent Logs'.,Pass ,,Pass
chat ,"Show a chat interface with a message history from two users ('Alex' and 'Sarah') and a text input box at the bottom. Alex: 'Hey Sarah, are you free for the sync?' Sarah: 'Hi Alex, yes! Starting the call now.'",Pass(but in both mode(dark & light) one message is disappeared as text colour and mode colour is same,,Pass
code-block ,"Display a block of Python code with syntax highlighting: def hello(name): print(f""Hello, {name}!"") hello(""Chiranjeet"")",Pass ,,Pass
widget ,"Create a 'Live Data' dashboard widget titled 'Current Users' showing a large number '1,423' and a small sparkline chart with an upward trend.",Pass ,,Pass
markdown ,"Show markdown rendered content with a heading, a bold word, an italic word, a bulleted list, and a link.",Pass ,,Pass
loading-spinner ,Display an animated loading spinner (different style from circular-progress) with the text 'Processing...'.,Pass ,,Pass
Multi-Component Dashboard ,"Create a complete monitoring dashboard with: - A title 'Production System Dashboard' - A summary card showing 4 key metrics (Requests: 1.2M, Latency: 45ms, Errors: 0.1%, Uptime: 99.9%) - Explanatory text about system status - A line chart of traffic over 24 hours with hourly data points - A bar chart of errors by service (API: 50, Web: 30, DB: 10) - A data grid of top 5 services by traffic - An insight card with key findings: 'Error rate spiked on API service at 3:00 AM'",Not Pass(As it creates an area chart instead of a line chart and also creates a horizontal bar chart instead of bar chart),,"Fail( creates area chart instead of line chart, creates dotted lines instead of bar chart)"
Error Analysis Report ,"Analyze system errors and show: - A critical 'Alert' box: 'Critical errors detected in Auth service!' - A summary card with error counts by severity (Critical: 5, High: 20, Low: 50) - A pie chart of error distribution (404s: 30%, 500s: 50%, Auth: 20%) - A data table of 'Recent Errors' with columns: Timestamp, Service, Message - A text explanation of the probable root cause - An insight card with recommendations: 'Increase replicas for Auth se",Pass ,,Pass
Performance Dashboard ,"Show system performance with: - A 1x3 grid of gauge charts for CPU (78%), Memory (65%), and Disk (42%) - A composed chart with 'Requests' (bars) and 'p95 Latency' (line) over the last 12 hours - A stack of 3 summary cards, each with a title and a sparkline for 24h trends (CPU, Mem, Disk) - A summary card with response time percentiles (p50: 55ms, p90: 120",Pass but some words missing 24h Trend Cards,,Pass
Nested Layout Test ,"Create a page layout with: - Row 1: A grid with 3 summary cards - Row 2: A flexbox layout with two charts (a line chart taking 70% width, a pie chart taking 30%) - Row 3: A full-width data grid - Row 4: A stack containing a text explanation and an insight card",Pass ,,Pass
Form Composition ,Create a user registration form in a 'Panel' container: - Use a 'Stack' for vertical layout with 16px spacing - Text field for 'Full Name' - Text field for 'Email' (type: email) - Text field for 'Password' (type: password) - Checkbox for 'I agree to the Terms' - A 'Flexbox' layout with 'space-between' for buttons: - A secondary 'Cancel' button - A primary 'Submit' button,Pass ,,Pass
Modal Dialog Composition ,"Create a confirmation dialog using 'Modal' with: - Modal title 'Delete Item' - Text explaining 'Are you sure you want to delete ""Report-Q4.pdf""? This action cannot be undone.' - A 'Flexbox' with 'flex-end' justification for buttons - A ghost button 'Cancel' - A danger (red) button 'Delete",Not Pass,,"Fail(all the component that has modal, fails as it shows same error)"
All Chart Types Grid ,"Show examples of all 27 chart types in a responsive grid layout with 3 columns. Each chart should have a title (e.g., 'Line Chart', 'Bar Chart').",Pass(but some charts are missing like line chart and some charts have blank data),,"Pass(bar chart, stacked area chart , etc has only dotted lines)"
